account_id,owner_client_id,owner_disp_id,num_acct_users,owner_birth_date,statement_freq,card_type,card_issue_date,acct_start_date,district_id,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16
1,1,1,1,1970-12-13,POPLATEK MESICNE,,,1995-03-24,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.8,3.35,131,1740.0,1910
2,2,2,2,1945-02-04,POPLATEK MESICNE,,,1993-02-26,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
3,4,4,2,1956-12-01,POPLATEK MESICNE,,,1997-07-07,5,Kolin,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.8,4.43,118,2616.0,3040
4,6,6,1,1919-09-22,POPLATEK MESICNE,,,1996-02-21,12,Pribram,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.8,4.31,137,3804.0,3868
5,7,7,1,1929-01-25,POPLATEK MESICNE,,,1997-05-30,15,Cesky Krumlov,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.1,3.6,124,1845.0,1879
6,8,8,1,1938-02-21,POPLATEK MESICNE,,,1994-09-27,51,Trutnov,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.5,2.97,131,3496.0,3839
7,9,9,1,1935-10-16,POPLATEK MESICNE,gold,1998-10-16,1996-11-24,60,Prostejov,south Moravia,110643,49,41,4,1,4,51.9,8441,3.4,4.48,115,1879.0,2252
8,10,10,2,1943-05-01,POPLATEK MESICNE,,,1995-09-21,57,Hodonin,south Moravia,161954,21,37,20,3,8,48.0,8720,3.7,4.5,116,3729.0,3651
9,12,12,1,1981-02-20,POPLATEK MESICNE,,,1993-01-27,70,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.6,7.75,81,9878.0,10108
10,13,13,1,1974-05-29,POPLATEK MESICNE,,,1996-08-28,54,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721.0,18696
11,14,14,1,1942-06-22,POPLATEK MESICNE,,,1995-10-10,76,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.7,5.88,107,3736.0,2807
12,15,15,2,1918-08-28,POPLATEK MESICNE,,,1997-04-15,21,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.5,2.07,123,2299.0,2354
13,17,17,2,1934-10-13,POPLATEK MESICNE,,,1997-08-17,76,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.7,5.88,107,3736.0,2807
